#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
r,l,t
11.5,140,1308.62287
-0.1,57,1310.204072
30.8,407,1315.935505
11.1,34,1316.077597
-10.6,15,1316.142439
21.3,39,1316.300484
-10.2,47,1317.840941
23.2,372,1323.348801
21.1,837,1334.74475
-10.7,308,1340.056773
-10.4,19,1340.132385
0.2,24,1340.229034
-9.2,69,1341.861943
44.2,90,1342.217048
0.5,23,1342.307426
32.7,860,1355.203731
0.1,19,1355.280246
-9.5,22,1355.369391
22.0,110,1357.166511
1.2,50,1358.737163
-10.3,18,1358.817611
-9.5,20,1358.901141
-10.3,378,1364.490967
-9.3,130,1366.34344
-8.8,217,1369.883987
32.8,215,1372.081139
-9.5,290,1377.295943
10.4,93,1377.661674
-9.6,491,1385.038558
-10.1,176,1388.467131
-9.8,15,1388.528658
0.9,19,1388.609196
0.5,27,1388.723059
-9.8,329,1394.11979
-10.4,27,1394.227857
-9.6,303,1398.108642
-10.3,12,1398.155543
22.1,141,1400.070107
-9.2,97,1401.819742
-9.7,68,1403.43872
-9.5,18,1403.512331
32.7,328,1407.514671
-0.5,35,1409.013345
0.6,202,1411.176641
0.7,23,1411.268466
-10.7,30,1412.744566
-10.5,218,1414.968568
86.7,313,1420.284741
22.9,53,1420.502045
0.0,50,1422.052223
-9.3,32,1422.178152
22.1,53,1422.389011
51.7,134,1424.277132
44.2,534,1431.820534
31.9,160,1435.203679
11.4,351,1439.347452
-10.4,117,1441.182467
-9.9,10,1441.22223
0.1,41,1442.73279
-10.1,2,1442.741057
117.1,340,1446.794201
-10.2,23,1448.23818
42.4,194,1450.356207
0.4,54,1451.921588
-10.2,9,1451.957762
22.0,118,1453.783693
11.1,74,1454.0564.5,615,1457.79352
10.8,11,1457.837133
-9.0,123,1459.684233
-10.5,6,1459.708008
12.3,80,1461.515029
-9.2,175,1463.605684
20.8,130,1465.497271
0.8,18,1465.571113
0.7,25,1467.031935
-0.1,41,1467.19702
63.9,191,1469.342609
22.3,45,1470.904254
21.3,203,1473.127464
-9.2,1-10.2,387,1476.809539
-10.2,15,1476.12.5,82,12.3,462,1484.21118
21.4,696,1493.781854
-10.7,8,1490.5,383,1497.215999
10.5,68,1497.485951
62.4,172,1500.932288
32.8,101,1501.332163
52.4,239,1504.971452
-9.5,50,1506.540581
-10.7,14,1506.59641
-9.5,6,1506.619-10.0,1899,1513.979916
1265.5,609,1515.86409
-1.0,1410.8,221,1517.610226
-10,1,1517.6-9.6,1173.5,260,1521.331.7,346,1523.4712744.2,548,1525.228116
1175.4,621,1532.71692353-10.1,68,1532.986221
22.7,157,1536.27445
12.4,57,1536.49154-20.1,71,1538.122974
-8.5,1244,1555.094387
42-9.6,1967,1566.105965
54.9,476,1573.385291
75.3,248,1577.083846
63.6,702,1586.601608
11.0,207,1590.085263
64.1,191,1593.536586
11.9,304,1597.468294
0.5,459,1603.329391
42.7,219,1606.885878
0.0,28,1606.996813
66.2,160,1610.363066
9.9,220,1612.60404
73.6,125,1614.460701
32.6,249,1618.150759
11.1,98,1619.886362
21.9,63,1621.485459
45.0,390,1627.109082
